"id","nome","disabile","linea"
496,Towards St Albans City and Luton Airport Parkway,"",""
497,Edgware,"",""
498,Burnt Oak,"",""
499,Hendon Central,"",""
500,Brent Cross,"",""
501,Golders Green,"",""
502,Hampstead,"",""
503,Gospel Oak,"",""
504,Kentish Town West,"",""
505,Camden Road,"",""
506,Tooting,"",""
507,Stepney Green,"",""
508,Rayners Lane,"",""
509,Northwick Park,"",""
510,Mansion House,"",""
511,North Greenwich,"",""
512,Ravensbourne,"",""
